market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",120269,50.8,-9.24,-9.81,-9.97,-11116.5,5393,FAIL,graded n=120269 >= 500 but ROI -9.24% <= 0%
batter_hits,price-only (full OOS),21,47.62,-22.8,-54.42,-58.03,-4.8,18,FAIL,graded n=21 < 500 and ROI CI lower bound -54.42% <= 0%
batter_hits,board (full OOS),1219,62.67,7.89,3.29,3.02,96.2,923,PASS,graded n=1219 >= 500 and ROI 7.89% > 0%
batter_hits,all-lines (full OOS),1249,62.13,6.88,2.1,1.97,85.9,923,PASS,graded n=1249 >= 500 and ROI 6.88% > 0%
batter_hits,board SELECT half,478,63.39,6.73,-0.55,-0.96,32.2,338,FAIL,graded n=478 < 500 and ROI CI lower bound -0.55% <= 0%
batter_hits,board VERDICT half,741,62.21,8.64,2.24,2.09,64.0,585,PASS,graded n=741 >= 500 and ROI 8.64% > 0%
batter_rbis,"base (every candidate, flat)",96439,28.92,-12.06,-12.98,-13.05,-11635.2,5409,FAIL,graded n=96439 >= 500 but ROI -12.06% <= 0%
batter_rbis,price-only (full OOS),448,58.26,-2.12,-10.28,-9.95,-9.5,291,FAIL,graded n=448 < 500 and ROI CI lower bound -10.28% <= 0%
batter_rbis,board (full OOS),1858,62.38,1.85,-1.65,-2.06,34.4,954,PASS,graded n=1858 >= 500 and ROI 1.85% > 0%
batter_rbis,all-lines (full OOS),1968,62.25,1.62,-1.86,-2.1,31.9,954,PASS,graded n=1968 >= 500 and ROI 1.62% > 0%
batter_rbis,board SELECT half,1517,62.76,2.75,-1.28,-1.42,41.7,720,PASS,graded n=1517 >= 500 and ROI 2.75% > 0%
batter_rbis,board VERDICT half,341,60.7,-2.13,-10.77,-10.63,-7.3,234,FAIL,graded n=341 < 500 and ROI CI lower bound -10.77% <= 0%
totals,"base (every candidate, flat)",8299,49.43,-4.11,-6.16,-6.75,-341.2,5287,FAIL,graded n=8299 >= 500 but ROI -4.11% <= 0%
totals,price-only (full OOS),1,0.0,-100.0,-100.0,-100.0,-1.0,1,FAIL,graded n=1 < 500 and ROI CI lower bound -100.00% <= 0%
totals,board (full OOS),428,54.44,4.81,-4.56,-4.56,20.6,428,FAIL,graded n=428 < 500 and ROI CI lower bound -4.56% <= 0%
totals,all-lines (full OOS),574,53.14,2.0,-6.01,-7.48,11.5,428,PASS,graded n=574 >= 500 and ROI 2.00% > 0%
totals,board SELECT half,351,54.42,4.85,-5.24,-5.24,17.0,351,FAIL,graded n=351 < 500 and ROI CI lower bound -5.24% <= 0%
totals,board VERDICT half,77,54.55,4.68,-17.3,-17.3,3.6,77,FAIL,graded n=77 < 500 and ROI CI lower bound -17.30% <= 0%
spreads,"base (every candidate, flat)",7457,48.28,-2.84,-5.25,-5.51,-211.6,5392,FAIL,graded n=7457 >= 500 but ROI -2.84% <= 0%
spreads,price-only (full OOS),1314,64.0,0.79,-3.45,-3.45,10.3,1314,PASS,graded n=1314 >= 500 and ROI 0.79% > 0%
spreads,board (full OOS),1314,64.0,0.79,-3.45,-3.45,10.3,1314,PASS,graded n=1314 >= 500 and ROI 0.79% > 0%
spreads,all-lines (full OOS),1378,64.01,0.74,-3.29,-3.33,10.2,1314,PASS,graded n=1378 >= 500 and ROI 0.74% > 0%
spreads,board SELECT half,460,66.3,4.47,-2.28,-2.28,20.6,460,FAIL,graded n=460 < 500 and ROI CI lower bound -2.28% <= 0%
spreads,board VERDICT half,854,62.76,-1.2,-6.41,-6.41,-10.2,854,FAIL,graded n=854 >= 500 but ROI -1.20% <= 0%
batter_total_bases,"base (every candidate, flat)",116642,45.41,-10.4,-10.97,-11.08,-12131.6,5394,FAIL,graded n=116642 >= 500 but ROI -10.40% <= 0%
batter_total_bases,price-only (full OOS),434,61.75,3.78,-4.05,-3.91,16.4,382,FAIL,graded n=434 < 500 and ROI CI lower bound -4.05% <= 0%
batter_total_bases,board (full OOS),3674,63.09,4.28,1.64,1.62,157.1,1810,PASS,graded n=3674 >= 500 and ROI 4.28% > 0%
