market,member,n,logLoss,skill,slope
batter_hits,priceflex,35313,0.63021,0.0895,0.224
batter_hits,priceshop,35313,0.63025,0.0895,0.224
batter_hits,pricevig,35313,0.62994,0.0899,0.222
batter_hits,priceline,35313,0.6302,0.0896,0.224
batter_hits,priceiso,35313,0.63064,0.0889,0.212
batter_hits,price,35313,0.63025,0.0895,0.223
batter_rbis,priceflex,26946,0.59395,0.0083,0.17
batter_rbis,priceshop,26946,0.59355,0.009,0.173
batter_rbis,pricevig,26946,0.59204,0.0115,0.129
batter_rbis,priceline,26946,0.59363,0.0088,0.173
batter_rbis,priceiso,26946,0.59973,-0.0014,0.075
batter_rbis,price,26946,0.59378,0.0086,0.199
totals,priceflex,2340,0.69552,-0.0035,-0.043
totals,priceshop,2340,0.69627,-0.0046,-0.091
totals,pricevig,2340,0.69719,-0.0059,-0.097
totals,priceline,2340,0.69726,-0.006,0.056
totals,priceiso,2340,0.69963,-0.0094,-0.059
totals,price,2340,0.69441,-0.0019,-0.012
spreads,priceflex,2120,0.65491,0.0551,0.306
spreads,priceshop,2120,0.65408,0.0562,0.298
spreads,pricevig,2120,0.6554,0.0543,0.302
spreads,priceline,2120,0.65567,0.054,0.298
spreads,priceiso,2120,0.65809,0.0505,0.19
spreads,price,2120,0.65494,0.055,0.308
batter_total_bases,priceflex,33111,0.6699,0.0289,0.244
batter_total_bases,priceshop,33111,0.66995,0.0288,0.244
batter_total_bases,pricevig,33111,0.66979,0.029,0.245
batter_total_bases,priceline,33111,0.66983,0.029,0.244
batter_total_bases,priceiso,33111,0.67023,0.0284,0.239
batter_total_bases,price,33111,0.66983,0.029,0.244
batter_home_runs,priceflex,20838,0.35682,0.0261,0.096
batter_home_runs,priceshop,20838,0.35692,0.0259,0.096
batter_home_runs,pricevig,20838,0.35689,0.0259,0.094
batter_home_runs,priceline,20838,0.35682,0.0261,0.096
batter_home_runs,priceiso,20838,0.35708,0.0254,0.072
batter_home_runs,price,20838,0.35684,0.0261,0.105
pitcher_strikeouts,priceflex,7276,0.63952,0.0772,0.231
pitcher_strikeouts,priceshop,7276,0.63964,0.0771,0.231
pitcher_strikeouts,pricevig,7276,0.63959,0.0771,0.231
pitcher_strikeouts,priceline,7276,0.63991,0.0767,0.23
pitcher_strikeouts,priceiso,7276,0.64494,0.0694,0.169
pitcher_strikeouts,price,7276,0.63927,0.0776,0.231
h2h,priceflex,1680,0.67304,0.0228,0.204
h2h,priceshop,1680,0.67342,0.0222,0.2
h2h,pricevig,1680,0.67453,0.0206,0.195
h2h,priceline,1680,0.67304,0.0228,0.204
h2h,priceiso,1680,0.6777,0.016,0.102
h2h,price,1680,0.67373,0.0218,0.22
batter_runs_scored,priceflex,11612,0.6508,0.0149,0.272
batter_runs_scored,priceshop,11612,0.65095,0.0147,0.27
batter_runs_scored,pricevig,11612,0.65074,0.015,0.271
batter_runs_scored,priceline,11612,0.65081,0.0149,0.272
batter_runs_scored,priceiso,11612,0.65101,0.0146,0.233
batter_runs_scored,price,11612,0.65074,0.015,0.274
pitcher_outs,priceflex,2501,0.68003,0.0189,0.214
pitcher_outs,priceshop,2501,0.68001,0.0189,0.213
pitcher_outs,pricevig,2501,0.68065,0.018,0.206
pitcher_outs,priceline,2501,0.68017,0.0187,0.211
pitcher_outs,priceiso,2501,0.69182,0.0019,0.083
pitcher_outs,price,2501,0.67964,0.0195,0.225
batter_strikeouts,priceflex,10406,0.65845,0.0501,0.234
batter_strikeouts,priceshop,10406,0.6583,0.0503,0.234
batter_strikeouts,pricevig,10406,0.65853,0.0499,0.233
batter_strikeouts,priceline,10406,0.65851,0.05,0.234
batter_strikeouts,priceiso,10406,0.66019,0.0475,0.217
batter_strikeouts,price,10406,0.65853,0.0499,0.234
