market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,under,120269,-9.24,-22.8,1219,7.89,3.29,96.2,PASS,1249,6.88,PASS,478,6.73,2025-07-08,741,62.21,8.64,2.24,2.09,64.0,585,PASS,graded n=741 >= 500 and ROI 8.64% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,96439,-12.06,-2.12,1858,1.85,-1.65,34.4,PASS,1968,1.62,PASS,1517,2.75,2025-08-13,341,60.7,-2.13,-10.77,-10.63,-7.3,234,FAIL,graded n=341 < 500 and ROI CI lower bound -10.77% <= 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_pass,under,8299,-4.11,-100.0,428,4.81,-4.56,20.6,FAIL,574,2.0,PASS,351,4.85,2025-08-03,77,54.55,4.68,-17.3,-17.3,3.6,77,FAIL,graded n=77 < 500 and ROI CI lower bound -17.30% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,compact+gbm,0.04,60,maxEv,ev_pass,over,7457,-2.84,0.79,1314,0.79,-3.45,10.3,PASS,1378,0.74,PASS,460,4.47,2025-08-01,854,62.76,-1.2,-6.41,-6.41,-10.2,854,FAIL,graded n=854 >= 500 but ROI -1.20% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,116642,-10.4,3.78,3674,4.28,1.64,157.1,PASS,3824,4.18,PASS,2246,3.72,2025-08-08,1428,63.52,5.14,0.84,0.85,73.4,827,PASS,graded n=1428 >= 500 and ROI 5.14% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,59338,-15.88,59.65,31,-14.44,-40.36,-4.5,FAIL,34,-17.5,FAIL,15,3.27,2025-05-05,16,43.75,-31.04,-70.08,-70.08,-5.0,16,FAIL,graded n=16 < 500 and ROI CI lower bound -70.08% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,over,24291,-5.82,-100.0,590,0.04,-6.31,0.3,PASS,608,0.66,PASS,326,2.32,2025-08-04,264,58.71,-2.77,-12.84,-12.53,-7.3,245,FAIL,graded n=264 < 500 and ROI CI lower bound -12.84% <= 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_pass,both,5956,-0.54,-5.11,1269,-2.85,-7.22,-36.2,FAIL,1360,-2.98,FAIL,749,-2.06,2025-08-05,520,59.62,-3.99,-11.06,-11.06,-20.8,520,FAIL,graded n=520 >= 500 but ROI -3.99% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,53348,-12.32,2.57,5296,1.39,-0.81,73.7,PASS,5533,1.44,PASS,3052,2.34,2024-08-22,2244,61.23,0.1,-3.19,-3.69,2.1,466,PASS,graded n=2244 >= 500 and ROI 0.10% > 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,9821,-4.02,-2.29,1165,1.66,-3.04,19.4,PASS,1192,2.16,PASS,703,1.28,2025-09-13,462,61.26,2.25,-4.93,-5.42,10.4,423,FAIL,graded n=462 < 500 and ROI CI lower bound -4.93% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,compact+gbm,,compact+gbm,0.04,60,maxEv,ev_filtered,both,27835,-12.13,0.0,1338,7.47,3.14,99.9,PASS,1372,7.43,PASS,828,8.51,2024-06-13,510,64.31,5.77,-1.06,-0.94,29.4,297,PASS,graded n=510 >= 500 and ROI 5.77% > 0%
