arm,innerCut,market,spec,globalTau,collapse,side,conf,tau,floor,aN,aRoi,bN,bRoi,bUnits,bGatePass
A:incumbent,0.5,batter_hits,gbm,0.0,maxEv,under,60,0.0,250,352,5.878,253,14.278,36.12,1
B:gateAligned,0.5,batter_hits,gbm,0.0,maxEv,under,60,0.04,250,300,7.77,211,14.03,29.6,1
C:gateAligned+stab,0.5,batter_hits,gbm,0.0,maxEv,,60,0.02,250,424,5.961,350,9.528,33.35,1
A:incumbent,0.6,batter_hits,gbm,0.0,maxEv,under,60,0.0,300,398,3.492,207,20.731,42.91,1
B:gateAligned,0.6,batter_hits,gbm,0.0,maxEv,under,60,0.04,300,338,4.054,173,22.666,39.21,1
C:gateAligned+stab,0.6,batter_hits,gbm,0.0,maxEv,,60,0.02,300,493,3.173,281,15.295,42.98,1
A:incumbent,0.7,batter_hits,gbm,0.04,maxEv,under,60,0.04,350,358,5.68,153,21.293,32.58,1
B:gateAligned,0.7,batter_hits,gbm,0.04,maxEv,under,60,0.04,350,358,5.68,153,21.293,32.58,1
C:gateAligned+stab,0.7,batter_hits,gbm,0.04,maxEv,,60,0.04,350,416,4.868,183,19.674,36.0,1
A:incumbent,0.5,batter_rbis,gbm,0.0,maxEv,both,60,0.0,250,1173,3.445,861,5.155,44.38,1
B:gateAligned,0.5,batter_rbis,gbm,0.0,maxEv,,65,0.04,250,597,9.117,337,7.908,26.65,1
C:gateAligned+stab,0.5,batter_rbis,gbm,0.0,maxEv,,65,0.04,250,597,9.117,337,7.908,26.65,1
A:incumbent,0.6,batter_rbis,gbm,0.0,maxEv,both,60,0.0,300,1302,3.248,732,5.806,42.5,1
B:gateAligned,0.6,batter_rbis,gbm,0.0,maxEv,,65,0.04,300,643,8.939,291,8.111,23.6,0
C:gateAligned+stab,0.6,batter_rbis,gbm,0.0,maxEv,,65,0.04,300,643,8.939,291,8.111,23.6,0
A:incumbent,0.7,batter_rbis,gbm,0.04,maxEv,both,60,0.04,350,850,8.535,268,10.001,26.8,1
B:gateAligned,0.7,batter_rbis,gbm,0.04,maxEv,,65,0.04,350,708,8.603,226,8.927,20.18,0
C:gateAligned+stab,0.7,batter_rbis,gbm,0.04,maxEv,,60,0.04,350,850,8.535,268,10.001,26.8,1
A:incumbent,0.5,totals,gbm,0.0,maxEv,both,60,0.0,250,348,2.062,261,-5.467,-14.27,0
B:gateAligned,0.5,totals,gbm,0.0,maxEv,both,60,0.0,250,348,2.062,261,-5.467,-14.27,0
C:gateAligned+stab,0.5,totals,gbm,0.0,maxEv,both,60,0.0,250,348,2.062,261,-5.467,-14.27,0
A:incumbent,0.6,totals,gbm,0.0,maxEv,both,60,0.0,300,403,-1.188,206,-1.12,-2.31,0
B:gateAligned,0.6,totals,gbm,0.0,maxEv,both,60,0.0,300,403,-1.188,206,-1.12,-2.31,0
C:gateAligned+stab,0.6,totals,gbm,0.0,maxEv,both,60,0.0,300,403,-1.188,206,-1.12,-2.31,0
A:incumbent,0.7,totals,gbm,0.04,maxEv,over,60,0.04,350,263,-1.453,69,-20.901,-14.42,0
B:gateAligned,0.7,totals,gbm,0.04,maxEv,both,60,0.04,350,461,-1.315,148,-0.696,-1.03,0
C:gateAligned+stab,0.7,totals,gbm,0.04,maxEv,over,60,0.04,350,263,-1.453,69,-20.901,-14.42,0
A:incumbent,0.5,spreads,gbm,0.0,maxEv,both,60,0.0,250,445,2.359,437,3.245,14.18,0
B:gateAligned,0.5,spreads,gbm,0.0,maxEv,,65,0.0,250,326,5.627,325,1.43,4.65,0
C:gateAligned+stab,0.5,spreads,gbm,0.0,maxEv,plus,65,0.0,250,293,4.174,294,3.649,10.73,0
A:incumbent,0.6,spreads,gbm,0.0,maxEv,over,60,0.0,300,281,8.34,229,1.097,2.51,0
B:gateAligned,0.6,spreads,gbm,0.0,maxEv,,65,0.0,300,392,5.801,259,0.097,0.25,0
C:gateAligned+stab,0.6,spreads,gbm,0.0,maxEv,,65,0.0,300,392,5.801,259,0.097,0.25,0
A:incumbent,0.7,spreads,gbm,0.04,maxEv,over,60,0.04,350,335,7.875,175,-0.249,-0.44,0
B:gateAligned,0.7,spreads,gbm,0.04,maxEv,,65,0.04,350,462,4.324,189,1.594,3.01,0
C:gateAligned+stab,0.7,spreads,gbm,0.04,maxEv,over,60,0.04,350,335,7.875,175,-0.249,-0.44,0
A:incumbent,0.5,batter_total_bases,gbm,0.0,maxEv,under,60,0.0,250,2603,-0.509,1725,3.338,57.58,1
B:gateAligned,0.5,batter_total_bases,gbm,0.0,maxEv,,65,0.04,250,908,0.176,382,7.35,28.08,1
C:gateAligned+stab,0.5,batter_total_bases,gbm,0.0,maxEv,under,60,0.0,250,2603,-0.509,1725,3.338,57.58,1
A:incumbent,0.6,batter_total_bases,gbm,0.0,maxEv,under,60,0.0,300,2868,-0.673,1460,4.36,63.66,1
B:gateAligned,0.6,batter_total_bases,gbm,0.0,maxEv,,65,0.04,300,993,0.562,297,8.112,24.09,0
C:gateAligned+stab,0.6,batter_total_bases,gbm,0.0,maxEv,under,60,0.0,300,2868,-0.673,1460,4.36,63.66,1
A:incumbent,0.7,batter_total_bases,gbm,0.04,maxEv,under,60,0.04,350,1484,0.893,394,4.253,16.76,0
B:gateAligned,0.7,batter_total_bases,gbm,0.04,maxEv,,65,0.04,350,1052,1.696,238,4.97,11.83,0
C:gateAligned+stab,0.7,batter_total_bases,gbm,0.04,maxEv,under,60,0.04,350,1484,0.893,394,4.253,16.76,0
A:incumbent,0.5,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,250,12,3.654,2,-23.684,-0.47,0
B:gateAligned,0.5,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,250,12,3.654,2,-23.684,-0.47,0
C:gateAligned+stab,0.5,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,250,12,3.654,2,-23.684,-0.47,0
A:incumbent,0.6,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,300,12,3.654,2,-23.684,-0.47,0
B:gateAligned,0.6,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,300,12,3.654,2,-23.684,-0.47,0
C:gateAligned+stab,0.6,batter_home_runs,gbm,0.0,maxEv,both,60,0.0,300,12,3.654,2,-23.684,-0.47,0
A:incumbent,0.7,batter_home_runs,gbm,0.04,maxEv,both,60,0.04,350,12,3.654,2,-23.684,-0.47,0
B:gateAligned,0.7,batter_home_runs,gbm,0.04,maxEv,both,60,0.04,350,12,3.654,2,-23.684,-0.47,0
C:gateAligned+stab,0.7,batter_home_runs,gbm,0.04,maxEv,both,60,0.04,350,12,3.654,2,-23.684,-0.47,0
A:incumbent,0.5,pitcher_strikeouts,gbm,0.0,maxEv,both,60,0.0,250,655,2.292,571,-1.587,-9.06,0
B:gateAligned,0.5,pitcher_strikeouts,gbm,0.0,maxEv,,65,0.0,250,430,6.33,353,-1.497,-5.28,0
C:gateAligned+stab,0.5,pitcher_strikeouts,gbm,0.0,maxEv,,65,0.04,250,361,5.415,254,-2.61,-6.63,0
A:incumbent,0.6,pitcher_strikeouts,gbm,0.0,maxEv,both,60,0.0,300,781,2.366,445,-2.815,-12.53,0
B:gateAligned,0.6,pitcher_strikeouts,gbm,0.0,maxEv,,65,0.04,300,418,5.672,197,-5.477,-10.79,0
C:gateAligned+stab,0.6,pitcher_strikeouts,gbm,0.0,maxEv,,65,0.0,300,506,5.59,277,-2.292,-6.35,0
A:incumbent,0.7,pitcher_strikeouts,gbm,0.04,maxEv,both,60,0.04,350,703,1.574,248,-2.948,-7.31,0
B:gateAligned,0.7,pitcher_strikeouts,gbm,0.04,maxEv,,65,0.04,350,463,3.431,152,-1.953,-2.97,0
C:gateAligned+stab,0.7,pitcher_strikeouts,gbm,0.04,maxEv,both,60,0.04,350,703,1.574,248,-2.948,-7.31,0
A:incumbent,0.5,h2h,gbm,0.0,maxEv,both,60,0.0,250,351,-0.6,344,2.411,8.29,0
B:gateAligned,0.5,h2h,gbm,0.0,maxEv,both,60,0.0,250,351,-0.6,344,2.411,8.29,0
C:gateAligned+stab,0.5,h2h,gbm,0.0,maxEv,both,60,0.0,250,351,-0.6,344,2.411,8.29,0
A:incumbent,0.6,h2h,gbm,0.0,maxEv,both,60,0.0,300,427,-0.605,268,3.273,8.77,0
B:gateAligned,0.6,h2h,gbm,0.0,maxEv,both,60,0.0,300,427,-0.605,268,3.273,8.77,0
C:gateAligned+stab,0.6,h2h,gbm,0.0,maxEv,both,60,0.0,300,427,-0.605,268,3.273,8.77,0
A:incumbent,0.7,h2h,gbm,0.04,maxEv,both,60,0.04,350,501,-0.25,194,3.835,7.44,0
B:gateAligned,0.7,h2h,gbm,0.04,maxEv,both,60,0.04,350,501,-0.25,194,3.835,7.44,0
C:gateAligned+stab,0.7,h2h,gbm,0.04,maxEv,both,60,0.04,350,501,-0.25,194,3.835,7.44,0
A:incumbent,0.5,batter_runs_scored,gbm,0.0,maxEv,both,60,0.0,250,1759,1.06,1734,2.73,47.34,1
B:gateAligned,0.5,batter_runs_scored,gbm,0.0,maxEv,,60,0.04,250,1260,2.167,1210,3.652,44.19,1
C:gateAligned+stab,0.5,batter_runs_scored,gbm,0.0,maxEv,,60,0.04,250,1260,2.167,1210,3.652,44.19,1
A:incumbent,0.6,batter_runs_scored,gbm,0.0,maxEv,both,60,0.0,300,2131,1.305,1362,2.804,38.19,1
B:gateAligned,0.6,batter_runs_scored,gbm,0.0,maxEv,,60,0.04,300,1503,2.518,967,3.48,33.66,1
C:gateAligned+stab,0.6,batter_runs_scored,gbm,0.0,maxEv,,65,0.02,300,1097,1.768,776,4.427,34.36,1
A:incumbent,0.7,batter_runs_scored,gbm,0.04,maxEv,both,60,0.04,350,1731,2.701,739,3.348,24.75,1
B:gateAligned,0.7,batter_runs_scored,gbm,0.04,maxEv,,60,0.04,350,1731,2.701,739,3.348,24.75,1
C:gateAligned+stab,0.7,batter_runs_scored,gbm,0.04,maxEv,under,65,0.04,350,1108,2.453,520,4.307,22.39,1
A:incumbent,0.5,pitcher_outs,gbm,0.0,maxEv,under,60,0.0,250,250,5.699,253,-7.546,-19.09,0
B:gateAligned,0.5,pitcher_outs,gbm,0.0,maxEv,under,60,0.0,250,250,5.699,253,-7.546,-19.09,0
C:gateAligned+stab,0.5,pitcher_outs,gbm,0.0,maxEv,under,60,0.0,250,250,5.699,253,-7.546,-19.09,0
A:incumbent,0.6,pitcher_outs,gbm,0.0,maxEv,under,60,0.0,300,293,4.196,210,-8.162,-17.14,0
B:gateAligned,0.6,pitcher_outs,gbm,0.0,maxEv,both,60,0.01,300,510,2.309,356,-1.273,-4.53,0
C:gateAligned+stab,0.6,pitcher_outs,gbm,0.0,maxEv,under,60,0.0,300,293,4.196,210,-8.162,-17.14,0
A:incumbent,0.7,pitcher_outs,gbm,0.04,maxEv,both,60,0.04,350,550,1.538,239,-3.341,-7.98,0
B:gateAligned,0.7,pitcher_outs,gbm,0.04,maxEv,both,60,0.04,350,550,1.538,239,-3.341,-7.98,0
C:gateAligned+stab,0.7,pitcher_outs,gbm,0.04,maxEv,both,60,0.04,350,550,1.538,239,-3.341,-7.98,0
A:incumbent,0.5,batter_strikeouts,gbm,0.0,maxEv,under,60,0.0,250,570,10.443,465,6.804,31.64,0
B:gateAligned,0.5,batter_strikeouts,gbm,0.0,maxEv,under,60,0.04,250,473,11.1,312,10.605,33.09,1
C:gateAligned+stab,0.5,batter_strikeouts,gbm,0.0,maxEv,under,60,0.04,250,473,11.1,312,10.605,33.09,1
A:incumbent,0.6,batter_strikeouts,gbm,0.0,maxEv,under,60,0.0,300,667,8.004,368,10.265,37.78,1
B:gateAligned,0.6,batter_strikeouts,gbm,0.0,maxEv,under,60,0.04,300,542,8.635,243,15.962,38.79,1
C:gateAligned+stab,0.6,batter_strikeouts,gbm,0.0,maxEv,under,60,0.04,300,542,8.635,243,15.962,38.79,1
A:incumbent,0.7,batter_strikeouts,gbm,0.04,maxEv,under,60,0.04,350,609,9.027,176,17.392,30.61,1
B:gateAligned,0.7,batter_strikeouts,gbm,0.04,maxEv,under,60,0.04,350,609,9.027,176,17.392,30.61,1
C:gateAligned+stab,0.7,batter_strikeouts,gbm,0.04,maxEv,under,60,0.04,350,609,9.027,176,17.392,30.61,1
