market,rawOddsRows,matchedToGame,twoSided,bestPriceBothSides,idResolved,didNotPlay,dataMissing,withOutcome,pushes,gradedRows,games,first,last,y2023,y2024,y2025,y2026
batter_hits,300053,268710,105255,105255,104167,944,9014,94209,0,94209,3940,2024-04-01,2026-07-17,0,47922,39187,7100
batter_rbis,177478,157378,80230,80230,79438,705,6869,71864,0,71864,3939,2024-04-01,2026-07-17,0,28510,36823,6531
totals,7321,6530,6530,6530,6530,0,0,6530,271,6259,3865,2024-04-01,2026-07-17,0,2635,3121,503
spreads,6370,5714,5714,5714,5714,0,0,5714,29,5685,3941,2024-04-01,2026-07-17,0,2395,2807,483
batter_total_bases,512403,455943,99303,99303,98376,926,9078,88372,0,88372,3940,2024-04-01,2026-07-17,0,37969,42601,7802
batter_home_runs,247434,218272,63898,63898,63226,578,5635,57013,0,57013,3219,2024-04-01,2025-10-29,0,28187,28826,0
pitcher_strikeouts,35880,32923,26062,26062,25616,373,5796,19447,0,19447,3415,2024-04-01,2026-05-23,0,7000,10255,2192
h2h,5050,4504,4504,4504,4504,0,0,4504,0,4504,3941,2024-04-01,2026-07-17,0,1833,2289,382
batter_runs_scored,116498,94455,39817,39817,39444,133,8299,31012,0,31012,1589,2024-04-01,2026-08-17,0,30986,0,26
pitcher_outs,10448,9645,9210,9210,9034,122,2159,6753,67,6686,2996,2024-04-02,2026-05-24,0,2433,3540,713
batter_strikeouts,40167,34287,34286,34286,33954,106,6013,27835,0,27835,1439,2024-04-01,2026-07-17,0,27823,0,12
