market,innerCut,member,nA,nB,llA,llB,skillA,skillB
batter_hits,0.5,price,22534,22564,0.62333,0.663994,0.0974,0.0359
batter_hits,0.5,compact,22534,22564,0.62322,0.663473,0.0975,0.0366
batter_hits,0.5,box,22534,22564,0.623106,0.66366,0.0977,0.0363
batter_hits,0.5,gbm,22534,22564,0.623702,0.663958,0.0968,0.0359
batter_hits,0.5,offset,22534,22564,0.623122,0.663717,0.0977,0.0363
batter_hits,0.5,iso,22534,22564,0.624934,0.665046,0.0951,0.0343
batter_hits,0.5,rf,22534,22564,0.623515,0.663429,0.0971,0.0367
batter_hits,0.5,et,22534,22564,0.62431,0.66409,0.096,0.0357
batter_hits,0.5,gbmB,22534,22564,0.62423,0.664302,0.0961,0.0354
batter_hits,0.5,gbmC,22534,22564,0.623251,0.663479,0.0975,0.0366
batter_hits,0.5,gbmD,22534,22564,0.624471,0.665053,0.0957,0.0343
batter_hits,0.6,price,27052,18046,0.630818,0.662949,0.089,0.0387
batter_hits,0.6,compact,27052,18046,0.630525,0.662602,0.0895,0.0392
batter_hits,0.6,box,27052,18046,0.630453,0.662799,0.0896,0.0389
batter_hits,0.6,gbm,27052,18046,0.630889,0.663263,0.0889,0.0383
batter_hits,0.6,offset,27052,18046,0.630445,0.662903,0.0896,0.0388
batter_hits,0.6,iso,27052,18046,0.632108,0.664334,0.0872,0.0367
batter_hits,0.6,rf,27052,18046,0.630603,0.662797,0.0894,0.039
batter_hits,0.6,et,27052,18046,0.631229,0.663678,0.0884,0.0377
batter_hits,0.6,gbmB,27052,18046,0.631427,0.663544,0.0882,0.0379
batter_hits,0.6,gbmC,27052,18046,0.630466,0.662734,0.0895,0.039
batter_hits,0.6,gbmD,27052,18046,0.631907,0.664066,0.0875,0.0371
batter_hits,0.7,price,31558,13540,0.636104,0.661322,0.0821,0.042
batter_hits,0.7,compact,31558,13540,0.6358,0.66098,0.0826,0.0425
batter_hits,0.7,box,31558,13540,0.635644,0.661464,0.0828,0.0418
batter_hits,0.7,gbm,31558,13540,0.636108,0.661873,0.0821,0.0412
batter_hits,0.7,offset,31558,13540,0.635625,0.661632,0.0828,0.0416
batter_hits,0.7,iso,31558,13540,0.637047,0.663549,0.0808,0.0388
batter_hits,0.7,rf,31558,13540,0.635883,0.661204,0.0824,0.0422
batter_hits,0.7,et,31558,13540,0.636616,0.66192,0.0814,0.0412
batter_hits,0.7,gbmB,31558,13540,0.636552,0.662289,0.0815,0.0406
batter_hits,0.7,gbmC,31558,13540,0.635752,0.661155,0.0826,0.0423
batter_hits,0.7,gbmD,31558,13540,0.637062,0.662753,0.0807,0.04
batter_rbis,0.5,price,18069,18085,0.5906,0.601232,0.0127,0.012
batter_rbis,0.5,compact,18069,18085,0.589732,0.60033,0.0141,0.0135
batter_rbis,0.5,box,18069,18085,0.589885,0.600436,0.0139,0.0133
batter_rbis,0.5,gbm,18069,18085,0.590626,0.600804,0.0126,0.0127
batter_rbis,0.5,offset,18069,18085,0.589852,0.600475,0.0139,0.0132
batter_rbis,0.5,iso,18069,18085,0.596367,0.603666,0.003,0.008
batter_rbis,0.5,rf,18069,18085,0.590195,0.600408,0.0134,0.0133
batter_rbis,0.5,et,18069,18085,0.591357,0.601182,0.0114,0.0121
batter_rbis,0.5,gbmB,18069,18085,0.59113,0.60173,0.0118,0.0112
batter_rbis,0.5,gbmC,18069,18085,0.590152,0.600692,0.0134,0.0129
