spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.02,60,maxEv,9,281.3,17395,1
gbm,0.02,60,mostBooks,9,274.9,17394,1
gbm,0.04,60,maxEv,9,254.7,13531,1
box+gbm,0.04,60,maxEv,9,207.7,9833,2
box+gbm,0.04,60,mostBooks,9,206.1,9832,2
gbm+offset,0.04,60,maxEv,9,201.4,9676,2
gbm,0.04,60,mostBooks,8,249.6,13530,1
gbm,0.01,60,maxEv,8,235.4,19686,1
gbm,0.01,60,mostBooks,8,228.7,19685,1
box+gbm+iso,0.04,60,maxEv,8,227.5,8714,3
box+gbm+iso,0.04,60,mostBooks,8,223.0,8713,3
gbm+offset+iso,0.04,60,maxEv,8,217.6,8621,3
gbm+offset+iso,0.04,60,mostBooks,8,214.5,8620,3
gbm+offset,0.04,60,mostBooks,8,200.5,9675,2
gbm,0.0,60,mostBooks,8,151.6,22201,1
compact+gbm+offset,0.04,60,mostBooks,7,244.3,7831,3
compact+gbm+offset,0.04,60,maxEv,7,243.0,7832,3
compact+box+gbm,0.04,60,maxEv,7,239.2,7926,3
compact+box+gbm,0.04,60,mostBooks,7,238.6,7925,3
price+gbm,0.04,60,mostBooks,7,212.0,6713,2
price+gbm,0.04,60,maxEv,7,207.0,6713,2
gbm+iso,0.04,60,maxEv,7,187.9,9803,2
compact+gbm,0.02,60,maxEv,7,186.7,13142,2
compact+gbm,0.02,60,mostBooks,7,182.1,13141,2
gbm+iso,0.04,60,mostBooks,7,179.9,9803,2
box+gbm+offset,0.04,60,mostBooks,7,169.6,9264,3
box+gbm+offset,0.04,60,maxEv,7,165.7,9265,3
gbm,0.0,60,maxEv,7,164.5,22202,1
gbm+offset,0.01,60,maxEv,7,150.4,16543,2
gbm+offset,0.01,60,mostBooks,7,148.1,16542,2
gbm+offset,0.0,60,maxEv,7,137.9,19384,2
gbm+offset,0.0,60,mostBooks,7,134.8,19383,2
gbm+offset+iso,0.0,60,maxEv,7,107.9,17840,3
gbm+offset+iso,0.0,60,mostBooks,7,98.5,17839,3
compact+box+offset,0.02,60,maxEv,7,53.5,12308,3
compact+box+offset,0.02,60,mostBooks,7,42.0,12308,3
compact+gbm,0.04,60,maxEv,6,247.9,8618,2
compact+gbm,0.04,60,mostBooks,6,246.1,8617,2
price+compact+gbm,0.04,60,mostBooks,6,241.4,5175,3
price+compact+gbm,0.04,60,maxEv,6,229.8,5175,3
offset+iso,0.04,60,maxEv,6,169.8,8987,2
offset+iso,0.04,60,mostBooks,6,167.9,8986,2
compact+gbm,0.01,60,maxEv,6,165.6,15896,2
compact+gbm,0.01,60,mostBooks,6,158.7,15895,2
gbm+offset,0.02,60,maxEv,6,150.1,13954,2
gbm+offset,0.02,60,mostBooks,6,147.9,13953,2
box+gbm,0.01,60,maxEv,6,144.0,16702,2
box+gbm+offset,0.01,60,mostBooks,6,143.5,16204,3
box+offset+iso,0.04,60,maxEv,6,142.1,8905,3
box+gbm+offset,0.01,60,maxEv,6,141.2,16205,3
box+gbm,0.01,60,mostBooks,6,140.7,16701,2
compact+box+gbm,0.01,60,maxEv,6,137.5,15291,3
gbm+iso,0.02,60,maxEv,6,137.3,13533,2
compact+box+gbm,0.01,60,mostBooks,6,136.6,15290,3
box+offset+iso,0.04,60,mostBooks,6,136.3,8904,3
box+gbm,0.02,60,maxEv,6,135.9,14055,2
box+gbm,0.02,60,mostBooks,6,133.1,14054,2
box+gbm,0.0,60,maxEv,6,130.7,19513,2
gbm+offset+iso,0.02,60,maxEv,6,128.9,12529,3
gbm+iso,0.02,60,mostBooks,6,128.5,13533,2
box+gbm+offset,0.0,60,mostBooks,6,127.0,19061,3
compact+gbm+offset,0.01,60,mostBooks,6,126.6,15240,3
box+gbm,0.0,60,mostBooks,6,126.5,19512,2
price+box+gbm,0.0,60,mostBooks,6,126.4,17845,3
compact+gbm+offset,0.01,60,maxEv,6,125.7,15241,3
gbm+offset+iso,0.02,60,mostBooks,6,123.6,12528,3
box+gbm+offset,0.0,60,maxEv,6,121.3,19061,3
price+gbm+offset,0.0,60,mostBooks,6,117.1,17738,3
box+gbm+iso,0.02,60,maxEv,6,115.8,12632,3
price+gbm+offset,0.0,60,maxEv,6,111.9,17738,3
box+gbm+iso,0.02,60,mostBooks,6,109.1,12631,3
box+gbm+iso,0.0,60,maxEv,6,107.8,17930,3
price+gbm,0.01,60,mostBooks,6,100.4,14613,2
box+offset+iso,0.02,60,maxEv,6,98.8,12870,3
price+gbm,0.01,60,maxEv,6,97.9,14613,2
offset+iso,0.01,60,mostBooks,6,97.2,15359,2
box+gbm+iso,0.0,60,mostBooks,6,96.6,17929,3
offset+iso,0.01,60,maxEv,6,95.6,15359,2
box+offset+iso,0.02,60,mostBooks,6,93.8,12870,3
box+gbm+iso,0.01,60,maxEv,6,90.5,15142,3
gbm+offset+iso,0.01,60,maxEv,6,89.4,15060,3
box+offset+iso,0.01,60,maxEv,6,88.2,15452,3
compact+gbm+iso,0.0,60,maxEv,6,87.2,17151,3
box+offset+iso,0.01,60,mostBooks,6,82.7,15452,3
compact+gbm+iso,0.01,60,maxEv,6,81.0,14246,3
gbm+offset+iso,0.01,60,mostBooks,6,80.2,15059,3
box+gbm+iso,0.01,60,mostBooks,6,80.1,15141,3
offset+iso,0.0,60,mostBooks,6,79.2,18183,2
offset+iso,0.02,60,mostBooks,6,78.1,12843,2
compact+gbm+iso,0.0,60,mostBooks,6,78.0,17151,3
compact+gbm+iso,0.01,60,mostBooks,6,73.5,14246,3
box+iso,0.02,60,maxEv,6,71.4,12987,2
box+iso,0.02,60,mostBooks,6,70.4,12986,2
box+iso,0.01,60,maxEv,6,58.8,15505,2
box+offset,0.02,60,mostBooks,6,58.4,13800,2
price+box+iso,0.0,60,maxEv,6,57.9,16635,3
box+iso,0.0,60,mostBooks,6,55.9,18311,2
box+iso,0.01,60,mostBooks,6,55.4,15505,2
gbm+iso,0.0,60,maxEv,6,53.9,18533,2
price+box+iso,0.0,60,mostBooks,6,51.7,16635,3
