market,season,n,winPct,roi,ciLo,units
batter_hits,2024,268,59.7,4.51,-5.8,12.1
batter_hits,2025,847,66.23,18.3,12.68,155.0
batter_hits,2026,968,63.33,11.06,5.79,107.1
batter_rbis,2024,308,61.69,-1.72,-10.71,-5.3
batter_rbis,2025,1546,63.0,0.67,-3.12,10.4
batter_rbis,2026,886,62.3,-0.89,-6.15,-7.9
totals,2024,78,44.87,-12.05,-32.85,-9.4
totals,2025,305,55.41,8.54,-2.17,26.0
totals,2026,186,48.39,-5.93,-20.13,-11.0
spreads,2024,168,64.88,1.64,-9.71,2.8
spreads,2025,1153,64.27,1.99,-2.48,22.9
spreads,2026,1142,60.86,-3.97,-8.36,-45.3
batter_total_bases,2024,707,59.97,-3.18,-9.08,-22.5
batter_total_bases,2025,2655,62.64,3.61,0.52,95.8
batter_total_bases,2026,1994,61.33,0.75,-2.72,15.0
batter_home_runs,2024,11,63.64,-1.24,-44.14,-0.1
batter_home_runs,2025,18,50.0,-21.75,-57.35,-3.9
pitcher_strikeouts,2024,132,61.36,5.94,-9.11,7.8
pitcher_strikeouts,2025,1376,59.74,0.69,-3.76,9.5
pitcher_strikeouts,2026,899,61.18,4.15,-1.28,37.3
h2h,2024,155,61.94,5.29,-7.89,8.2
h2h,2025,875,60.0,2.58,-3.13,22.5
h2h,2026,494,54.86,-7.26,-15.08,-35.9
batter_runs_scored,2024,3925,61.45,0.92,-1.77,36.2
batter_runs_scored,2025,1423,62.19,0.46,-3.56,6.5
batter_runs_scored,2026,1989,61.24,-0.65,-4.03,-13.0
pitcher_outs,2025,1039,58.52,0.88,-4.57,9.1
pitcher_outs,2026,918,58.82,1.34,-4.19,12.3
batter_strikeouts,2024,1676,64.98,6.98,3.14,117.0
